iter	Logloss
0	0.6744748188
1	0.6587047986
2	0.6462190474
3	0.6343188952
4	0.6251642238
5	0.6178424154
6	0.6104311178
7	0.60361867
8	0.5981825828
9	0.5933624314
10	0.5901567025
11	0.5869097925
12	0.5831714974
13	0.5804854469
14	0.5781632913
15	0.5758529856
16	0.5741539676
17	0.572670806
18	0.5704497018
19	0.569032497
20	0.5671845637
21	0.5659392539
22	0.5644522087
23	0.5632719768
24	0.5620009321
25	0.5609831311
26	0.5595546078
27	0.5584313643
28	0.5577266627
29	0.5567799407
30	0.5556793076
31	0.5548704929
32	0.5541243365
33	0.5535413834
34	0.5527530179
35	0.5519815125
36	0.5509824316
37	0.5502326544
38	0.5496201146
39	0.5491123594
